380 0.001368 0.000039 0.006450001 0.123
385 0.002236 0.000064 0.01054999 0.152
390 0.004243 0.00012 0.02005001 0.197
395 0.00765 0.000217 0.03621 0.258
400 0.01431 0.000396 0.06785001 0.328
405 0.02319 0.00064 0.1102 0.385
410 0.04351 0.00121 0.2074 0.418
415 0.07763 0.00218 0.3713 0.437
420 0.13438 0.004 0.6456 0.446
425 0.21477 0.0073 1.0390501 0.448
430 0.2839 0.0116 1.3856 0.448
435 0.3285 0.01684 1.62296 0.447
440 0.34828 0.023 1.74706 0.444
445 0.34806 0.0298 1.7826 0.44
450 0.3362 0.038 1.77211 0.434
455 0.3187 0.048 1.7441 0.428
460 0.2908 0.06 1.6692 0.421
465 0.2511 0.0739 1.5281 0.413
470 0.19536 0.09098 1.28764 0.405
475 0.1421 0.1126 1.0419 0.394
480 0.09564 0.13902 0.8129501 0.381
485 0.05795001 0.1693 0.6162 0.372
490 0.03201 0.20802 0.46518 0.362
495 0.0147 0.2586 0.3533 0.352
500 0.0049 0.323 0.272 0.342
505 0.0024 0.4073 0.2123 0.33
510 0.0093 0.503 0.1582 0.314
515 0.0291 0.6082 0.1117 0.294
520 0.06327 0.71 0.07824999 0.271
525 0.1096 0.7932 0.05725001 0.249
530 0.1655 0.862 0.04216 0.231
535 0.2257499 0.9148501 0.02984 0.219
540 0.2904 0.954 0.0203 0.211
545 0.3597 0.9803 0.0134 0.209
550 0.4334499 0.9949501 0.008749999 0.209
555 0.5120501 1 0.005749999 0.207
560 0.5945 0.995 0.0039 0.201
565 0.6784 0.9786 0.002749999 0.196
570 0.7621 0.952 0.0021 0.196
575 0.8425 0.9154 0.0018 0.199
580 0.9163 0.87 0.001650001 0.206
585 0.9786 0.8163 0.0014 0.215
590 1.0263 0.757 0.0011 0.223
595 1.0567 0.6949 0.001 0.229
600 1.0622 0.631 0.0008 0.235
605 1.0456 0.5668 0.0006 0.241
610 1.0026 0.503 0.00034 0.245
615 0.9384 0.4412 0.00024 0.245
620 0.8544499 0.381 0.00019 0.243
625 0.7514 0.321 0.0001 0.243
630 0.6424 0.265 0.00005 0.247
635 0.5419 0.217 0.00003 0.254
640 0.4479 0.175 0.00002 0.269
645 0.3608 0.1382 0.00001 0.291
650 0.2835 0.107 0 0.318
